"fullpath","name","extension","size","type","level","creation_date","modification_date","created_by","last_edited_by"
"C:\Users\abc_0\Documents\Temp\Data\N44E011.hgt.aux.xml","N44E011.hgt.aux.xml",".xml","479","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E012.hgt","N44E012.hgt",".hgt","25934402","file","2","22/01/2024 13:56:43","22/01/2024 13:56:43",,
"C:\Users\abc_0\Documents\Temp\Data\N44E012.hgt.aux.xml","N44E012.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E013.hgt","N44E013.hgt",".hgt","25934402","file","2","22/01/2024 13:56:44","22/01/2024 13:56:44",,
"C:\Users\abc_0\Documents\Temp\Data\N44E013.hgt.aux.xml","N44E013.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E014.hgt","N44E014.hgt",".hgt","25934402","file","2","22/01/2024 13:56:48","22/01/2024 13:56:48",,
"C:\Users\abc_0\Documents\Temp\Data\N44E014.hgt.aux.xml","N44E014.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44E015.hgt","N44E015.hgt",".hgt","25934402","file","2","22/01/2024 13:56:50","22/01/2024 13:56:51",,
"C:\Users\abc_0\Documents\Temp\Data\N44E015.hgt.aux.xml","N44E015.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44W001.hgt","N44W001.hgt",".hgt","25934402","file","2","22/01/2024 13:56:35","22/01/2024 13:56:36",,
"C:\Users\abc_0\Documents\Temp\Data\N44W001.hgt.aux.xml","N44W001.hgt.aux.xml",".xml","478","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N44W002.hgt","N44W002.hgt",".hgt","25934402","file","2","22/01/2024 13:56:34","22/01/2024 13:56:34",,
"C:\Users\abc_0\Documents\Temp\Data\N44W002.hgt.aux.xml","N44W002.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E000.hgt","N45E000.hgt",".hgt","25934402","file","2","22/01/2024 13:56:51","22/01/2024 13:56:51",,
"C:\Users\abc_0\Documents\Temp\Data\N45E000.hgt.aux.xml","N45E000.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
"C:\Users\abc_0\Documents\Temp\Data\N45E001.hgt","N45E001.hgt",".hgt","25934402","file","2","22/01/2024 13:56:52","22/01/2024 13:56:53",,
"C:\Users\abc_0\Documents\Temp\Data\N45E001.hgt.aux.xml","N45E001.hgt.aux.xml",".xml","477","file","2","23/01/2024 12:04:59","23/01/2024 12:04:59",,
